1st_cloumn->temp and 1st_row->Humidity
	0	10	20	30	40	50	60	70	80	90	100	
0	0.000111	0.009830	0.019554	0.029281	0.039012	0.048747	0.058486	0.068229	0.077976	0.087727	0.097481	
10	0.000111	0.019644	0.039193	0.058759	0.078339	0.097936	0.117549	0.137177	0.156822	0.176483	0.196159	
20	0.000111	0.037330	0.074606	0.111940	0.149331	0.186780	0.224288	0.261853	0.299477	0.337159	0.374899	
30	0.000111	0.067723	0.135526	0.203519	0.271703	0.340079	0.408648	0.477410	0.546366	0.615517	0.684864	
40	0.000111	0.117801	0.236067	0.354913	0.474341	0.594356	0.714962	0.836162	0.957960	1.080360	1.203366	
50	0.000111	0.197279	0.396065	0.596485	0.798558	1.002300	1.207731	1.414869	1.623732	1.834341	2.046714	
60	0.000111	0.319307	0.642749	0.970509	1.302665	1.639295	1.980479	2.326300	2.676844	3.032199	3.392454	
70	0.000111	0.501283	1.012945	1.535387	2.068912	2.613838	3.170497	3.739235	4.320416	4.914421	5.521649	
80	0.000111	0.765855	1.556172	2.372116	3.214818	4.085485	4.985415	5.915997	6.878726	7.875208	8.907176	
90	0.000111	1.142225	2.339283	3.594880	4.912996	6.298043	7.754929	9.289123	10.906743	12.614652	14.420574	
100	0.000111	1.667965	3.453865	5.369436	7.428178	9.645847	12.040948	14.635358	17.455137	20.531599	23.902731	
