1st_cloumn->temp and 1st_row->Humidity
	5	10	15	20	25	30	35	40	45	50	
5	334.49	334.52	334.54	334.56	334.59	334.61	334.63	334.66	334.68	334.70	
10	337.50	337.53	337.56	337.60	337.63	337.66	337.69	337.73	337.76	337.79	
15	340.48	340.52	340.57	340.61	340.66	340.71	340.75	340.80	340.85	340.89	
20	343.43	343.50	343.56	343.63	343.69	343.75	343.82	343.88	343.95	344.01	
25	346.37	346.46	346.55	346.64	346.72	346.81	346.90	346.99	347.08	347.16	
30	349.30	349.41	349.53	349.65	349.77	349.89	350.01	350.13	350.25	350.37	
35	352.20	352.36	352.52	352.68	352.84	353.00	353.16	353.32	353.48	353.64	
40	355.10	355.31	355.52	355.73	355.94	356.15	356.36	356.57	356.79	357.00	
45	357.99	358.26	358.54	358.81	359.09	359.37	359.64	359.92	360.20	360.49	
50	360.87	361.22	361.58	361.94	362.30	362.66	363.03	363.39	363.76	364.13	
