1st_cloumn->temp and 1st_row->Humidity
	5	10	15	20	25	30	35	40	45	50	
5	0.92	0.93	0.93	0.94	0.95	0.95	0.96	0.97	0.97	0.98	
10	1.82	1.83	1.84	1.85	1.86	1.87	1.88	1.89	1.90	1.91	
15	2.72	2.74	2.75	2.77	2.78	2.79	2.81	2.82	2.83	2.85	
20	3.62	3.64	3.65	3.67	3.69	3.71	3.73	3.75	3.77	3.79	
25	4.50	4.53	4.56	4.58	4.61	4.63	4.66	4.69	4.71	4.74	
30	5.38	5.42	5.46	5.49	5.53	5.56	5.60	5.63	5.67	5.71	
35	6.26	6.31	6.36	6.40	6.45	6.50	6.55	6.60	6.65	6.69	
40	7.14	7.20	7.26	7.32	7.39	7.45	7.52	7.58	7.64	7.71	
45	8.01	8.09	8.17	8.26	8.34	8.42	8.51	8.59	8.68	8.76	
50	8.88	8.98	9.09	9.20	9.31	9.42	9.53	9.64	9.75	9.86	
